"","symbol","log2FC","pvalue","padj","statistic","baseMean"
"1","NM_001313945.2",36.0408315026781,2.82092378606267e-13,9.31102314065705e-09,7.3026796015114,21.3553756857897
"2","NM_001024674.3",-3.94851313487336,1.16436890711775e-06,0.0192161622586178,-4.86160652896052,17.4243262220379
"3","NM_001348453.2",-6.25302301730384,1.08755272641744e-05,0.119656176136201,-4.3989911266586,10.3288511423987
"4","NM_001279358.2",-6.03886229153805,2.20699282018427e-05,0.182115530039555,-4.24284967046747,3.75724694801981
"5","NM_001042751.2",-5.18994967321755,9.69227752526199e-05,0.639826008552645,-3.89816898081188,10.2402976828301
"6","NM_001005221.2",0,1,1,0,0.0545438561104676
"7","NM_001005277.1",0,1,1,0,0.0545438561104676
"8","NM_015658.4",0.0818778968706054,0.739674508431149,1,0.332284413117266,175.155005963796
"9","NM_198317.3",0.48961295969657,0.442032095498212,1,0.768766237018775,19.4751346300841
"10","NM_032129.3",-0.932633368366297,0.673379641650332,1,-0.421514203637761,0.66741560917763
"11","NM_001160184.2",1.9343422211275,0.425785696848604,1,0.796423890394596,0.443080678215663
"12","NM_001367552.1",-2.82638055693507,0.690782640218689,1,-0.397793186337494,0.360177095176001
"13","NM_001291367.2",0,1,1,0,0.0551965959933529
"14","NM_001142467.2",0.0938392627948643,0.874525541262201,1,0.157912762456635,85.4010632978709
"15","NM_021170.4",0.0886840765046929,0.930697841727286,1,0.0869668756419555,37.5418607575626
"16","NM_005101.4",0.0313482931449191,0.962153433789793,1,0.0474514377182188,120.704270164397
"17","NM_198576.4",-0.022704284127669,0.970012032250475,1,-0.0375931968075579,28.8361559300479
"18","NM_001305275.2",0.334100801068515,0.724712535543496,1,0.352167651129434,8.02269638021299
"19","NM_001364727.2",-0.932612377221542,0.894975144019429,1,-0.132011565306632,0.223193917771841
"20","NM_001205252.2",0.438441449311366,0.727300710909763,1,0.348718424348409,1.15987285939996
"21","NM_001330306.2",0.136596878139196,0.865996716339448,1,0.168745642090389,2.68633174789544
"22","NM_001363525.2",1.52910717571341,0.464091035952163,1,0.732127031908228,1.54220643153403
"23","NM_017891.5",0.238484506153101,0.827579938305231,1,0.217806425017303,3.40485587636528
"24","NM_004195.3",-0.932611710887601,0.896438725876168,1,-0.130161409076683,0.0275081676129876
"25","NM_148901.2",0,1,1,0,0.0285028573986243
"26","NM_003327.4",0,1,1,0,0.0282258963533301
"27","NM_080605.4",-0.20036627960396,0.48721150268325,1,-0.694750773608528,20.4527515671563
"28","NM_001014980.3",0.302913286493601,0.742392287172895,1,0.328686992330963,3.21669834371912
"29","NM_194315.2",0.784436147728386,0.244750229703824,1,1.16319540679767,6.12211640156482
"30","NM_058167.3",-0.120962511495192,0.663924240484957,1,-0.434501589955205,32.8376446784909
"31","NM_194457.2",0.142600987358643,0.902555228843452,1,0.12243410620019,5.37090053647757
"32","NM_001130413.4",0.247441597061966,0.677501317681418,1,0.415875213707235,16.6012808759975
"33","NM_030649.3",0.240132881711706,0.638178377986137,1,0.470247252689035,29.8337990599277
"34","NM_153339.3",0.246715724865361,0.660041834131172,1,0.439855408186162,56.6503569437304
"35","NM_017871.6",0.189719230850129,0.488550189483385,1,0.692616600831334,74.9320677879688
"36","NM_001256463.2",-0.451134897759522,0.673794321127281,1,-0.420946264253139,5.96082338060329
"37","NM_001029885.2",0.111013052739519,0.857867436605556,1,0.17908948713957,8.8747735243846
"38","NM_152228.3",0.925140608668359,0.896940427475988,1,0.129527296396672,0.223401036583392
"39","NM_001330311.2",0.287764485109725,0.74997597398691,1,0.318671044391343,15.1100413518086
"40","NM_004421.3",0.24101395708349,0.766300779181278,1,0.297217084739788,15.7727970683563
"41","NM_001282585.1",-0.0138168029512147,0.973866200620275,1,-0.0327597188984728,9.69124840966025
"42","NM_032348.4",0.547818142735595,0.462679435415182,1,0.734441937062647,4.23053231263009
"43","NM_001282583.2",0.0251321351176624,0.969490312008375,1,0.0382475464678161,4.20897245997682
"44","NM_001127229.2",-0.421868865553575,0.749762904967325,1,-0.318952008771186,5.19305102789948
"45","NM_001127230.2",-0.932611710887598,0.896438725876168,1,-0.130161409076683,0.367756004430361
"46","NM_017900.3",0.216640938272469,0.502764564853066,1,0.670146248889965,151.486240291907
"47","NM_001350497.1",0.0757448524265034,0.769776859828411,1,0.292666785848599,36.405981902669
"48","NM_001350499.2",0.581103125169752,0.359074734090593,1,0.917129595768723,4.87891328710164
"49","NM_001350498.2",0.075660828290811,0.991365986830053,1,0.0108213419630776,3.15458439733627
"50","NM_001320153.3",0.0596181284458267,0.732346060989377,1,0.342006419778914,82.8769085826247
"51","NM_001320155.3",0.965753004673536,0.832025736804166,1,0.212104208103088,0.308973142600565
"52","NM_030937.6",1.19913455815064,0.235656405715608,1,1.18591364064965,1.93631211581348
"53","NM_001318485.2",0.0920089705748715,0.711081074757003,1,0.370404562568409,29.8745572688527
"54","NM_017971.4",-0.0290138809619946,0.792969916896665,1,-0.262455982660918,192.871867043033
"55","NM_001243535.2",1.46712574926912,0.739749883875902,1,0.332184583711233,0.498413533991164
"56","NM_001243536.2",0.619261379661822,0.695212528006743,1,0.391791158991029,0.889298162279212
"57","NM_001146685.1",0.881935473117061,0.873276962081313,1,0.159497456506269,0.277750997114438
"58","NM_199121.3",0.990932299171372,0.890002524939382,1,0.138301013008927,0.109790587958145
"59","NM_022834.5",0.0287767464843886,0.98533055864187,1,0.0183864541474472,0.724298000380083
"60","NM_001039211.3",-0.16384065614463,0.845806309033583,1,-0.194472011385346,2.51571204966624
"61","NM_031921.6",0.845128037934776,0.515218695075026,1,0.650733250723121,1.95930426252024
"62","NM_001317238.2",0.120236761958831,0.764016976980415,1,0.300210001056758,17.1882647770385
"63","NM_001170535.3",0.321021532193829,0.582688903072636,1,0.549461318857297,64.305969536323
"64","NM_018188.5",-1.10598859670377,0.425018680147944,1,-0.797744662306074,2.1315888691156
"65","NM_001114748.2",1.51021035187808,0.49024360621204,1,0.689921417703036,0.56134633740793
"66","NM_014188.3",0.0522590991005436,0.584308317319448,1,0.547102496371765,206.74432936095
"67","NM_001242659.2",0.427736881276853,0.511791642929544,1,0.656050483176703,9.29381012055124
"68","NM_001170688.1",0,1,1,0,0.423855065839871
"69","NM_001170687.2",-0.121365775675517,0.903127442430385,1,-0.12171157934511,12.8836404236966
"70","NM_001170686.2",-0.309793545350945,0.889807681827572,1,-0.138547563468536,1.06344136547699
"71","NM_080875.3",2.19192795482194,0.44781500709544,1,0.759062772737117,5.44699326930241
"72","NM_001170689.2",-0.384093930662941,0.901316663701842,1,-0.123998246168336,1.12290951066933
"73","NM_006983.2",-0.385594268108019,0.819612190414894,1,-0.228043799461476,0.976755457844597
"74","NM_033489.3",-0.268905320641608,0.47416828525034,1,-0.715713480448633,17.6376451556107
"75","NM_001787.3",-1.88762207338873,0.140682043151687,1,-1.47325591464876,4.28654729851033
"76","NM_033486.3",0.0233385902756763,0.961320147487688,1,0.0484970097822256,23.6536923246187
"77","NM_033490.3",0.53970447031803,0.47342127474185,1,0.71692354228272,6.26787450028401
"78","NM_033487.3",0.547608988285351,0.245153932904414,1,1.16220074308696,16.9865718238173
"79","NM_001291345.2",0.0409984437895942,0.94814937749346,1,0.0650309253485715,9.10386648796449
"80","NM_001290264.2",0.154158332025412,0.714230051076322,1,0.366180956863938,9.37931697297398
"81","NM_001110781.3",0.0963200320965738,0.638605839624689,1,0.469648959135704,41.0417469588939
"82","NM_024011.4",0.12696667021576,0.754585367818966,1,0.312598960708003,13.6710814713748
"83","NM_001313982.2",0.669497911750799,0.418829689245303,1,0.808453282918079,4.05361785524627
